label,comments
0,Ne heeraa geeshshatettay nenan doommana bessees
1,Xoossoo ha Otona heera naatuppe waananee asaabaa qamman dafi ekkoosona
1,Qeeranchchoy baada ne malaa koya niyo laggee baawee?
1,I keettaway pattenna asa kariya erees
1,A daroppe qaxana asa oyqqiyobi tishshenna
0,Ne keettaawaabay nena xeellennee?
0,Agga tayshawu ne naata seera neeni metuwan gelenna mala era 
1,Laa ayba huuphee oottenna macca naati biittan kumidee
1,Wogga asi waanidi  pokkobaa hasayii kawushshay
1,Kawushshi kana qallaalle gidennee 
0,Yaatin waanuutee oosuwa oottana koyikkii?
0,Maxennay muxennan mittees gees nu asay hayseyiiddi
0,Asa bolli genebaa qoppoppa
0,Asa bolli gelabaa haasayoppa
1,Ha curqqawu nena gattennaban geloppa
0,Ta michchee harabaa aggada ne oosuwa wudada oottiyakko keha niyo
0,Issitookka bachchadasa minnada ne oosuwa ootta
1,Zayree naati issoykka maaddiya asi baawa
0,Mishiriya barina lo''idabaa hanekkee nena aybee gattiyay
1,Kayseeenay neeni ayinne kessakka gays woygay?
1,Qoppennan daydda coo haasayoppa 
0,Akeekenna gereessay zaarishin metees giida
0,Yootiyobaa suure yootikke cashshay aybissi koshshidee?
1,Ayfiyaara moloocay neeni pattiya asa gidakka
1,Asa biitti woxxaydda wolqqaa wuraychchidaagee
1,Coo waayettoppa hagaappe simmin nena azini ekkenna
0,Issoy issuwaara siiqettidi de'iyaakko doorettees  
0,Naatoo gooyoppekketii inttiyo wodee biroona
0,Xoossaa erennaageetussi garssay 
0,Wolqqi xayoy Xoossan qanggees
1,Laa ayba laafa asa xalaalay nu heeran kumidee?
1,Ha  xinqqoti waaniyona  inttena xeellennaban geloppite
1,Nu ogiya gorddaasashin Xoossi ne ogiya gorddo
0,Simi woyganee Xoossi wozana immo etawu 
1,Neeni ayba qooqida asee naati aafuwa doona kaa'iyageeta bayikkii?
1,Xoossi gorddo niyo ne doonaa asa na'aa doonaa gorddada wadhdhay?
0,Agga ta ishawu haasayiyobaa akeekada haasaya 
1,Laa ne motoree macca naatu xalaalaa caanii? 
1,Ha micuwawu macca naatu sunttaa coo bashshoppa neeppe eti keha 
0,Wolaytta naatu giddon taassi injjetiyaagee nena diccashsho
0,Wolayttan cora zannaqa sohoti de'oosona
1,Kaneenay nena ajjooran aybi gattii?
1,Laa waanoo ta nebaa oossi magannooshsha?
1,"Hagaa mala lo""iyabaa ootta asa cayiyoogaappe hagee lo""ees"
0,Laggiyawu hachchi waanada tumiyo haasayadii?
1,Nebay tana awudenne ufayssenna 
0,Worada gereera tayshawu I hananabay erettiichchibeenna
0,Gaale naati gaammo
0,Duguna panggo naati dumma
0,Ishawu iniiro awude immuutee?
1,Ha baluqee ne dulliya asa sinttan qaattoppa 
0,Bolooso Bombbee yenjjeeluwa dure
1,Arakkatoo aggite ayyoppite
0,Sinttaara aybee yiya sa'ay awes tana
1,Dungguuxaa keettan imattay gishees giida 
1,Kaysee naati aybanne kessekketa
0,Laa ta nena daroppe siiqada gooyayas shin aybi kehee?
0,Naa''ay issippe azinanne machcho gidana danddayiyo?
0,Cimo haasayaa taani dosikke naa''anttada hegaadan hanoppa
1,Ganddan machchiyo ekka wottada Ambbaa yaada hara macca naata haasayissay bullay
1,Xorkkoy nebaa asi erenna gaada worddotay
1,Coo daafuroppa ne hanuwa eriya macci mulekka nena gelenna
0,Macca naata kawushshada cayiyogee niyo pokkennee?
0,Laa tana xoossi woyganee giyoobi baawee asa bolli wordduwa markkattoppa
0,Oottada ne cawan ma tayshawu asabaa naagoppa
0,Qohettidikka haasayenna macca naati corati de'oosona
0,Awudenne gidin ne oonatettan yeellatoppa
1,Intte heeran ubba asaykka kayaa naagidi haasayiyogaa erokknaayye?
0,Yaa'an qaadaa ekkada haasaya tayshawu
0,Tayshawu neeni giyobay nuussi siyettibeenna
0,Laa ne bawu waanay asabaykka nena nebaadan michchii?
1,Murxxiya ne bawu awa heeran yelettidii?
1,Bidinttay nenaara eqqidi haasayiyogeekka qohees
1,Samay  coo kelttiya geloppa shoobettabaakka
0,Xoossoo ne ashsha I bawu Wolayttan awa allaana biittay woddidi asa shemppo miidee?
0,Agga laa laggiyawu siiqo milataydda caddoppa 
0,Wozana garssan iitaa qoppidi haasayiyogee lo''enna
1,Macca naata miishshaa miidi siiqiya azzalla attumata woyguutee neeni?
1,Issi issi maccappe kehenna attumatikka xayokkona
1,Neeni yelido na'ay cinashsha malatees hekko
0,Inttebaa poora qassi oonaara ooyettidi yeetiishsha 
1,Diccoppa gaanawu nagara laa neeni ayba makkala na'ee
1,Gawuxay Xoossay nena qaaro nu bollaappe
0,Laa ne keettayiyo aybissi hagaadan shocay moorobi diikko asaara be'ikkii?
0,Hachchi gallassay tumaappe dummatees
1,Gundday sinttawu kiyoppa hagee laa aybabaa haasayii?
1,Neeppe laa awu baanee gooyikko qachchanakkaa simi
0,shahaaradeeyye haraabee?
0,Tuma gaasaa yeeleetta!
0,Nebaa gidenna macceera asho gaytotettaa poloppa
0,Iitay iita gallassi ashshees giida
0,Hachchi  neeni suurebaa haasayadasa ishawu iitay bochcoppo 
0,Hachchi istta  neeppe lo''iyaaba siyaas
0,Xoossoo ha iita haqquwa neeni zaara
0,Gonddooro  hekko tumaappe wodiya wurssettay matiichchiis
0,Aayyiya nena yelu hachchi etassi bessiya zaaruwa immadasa
1,hagaa xosayi hasaya goppo gasulayi
1,kawushiya 
1,neni appe kehaka tuniyaa
1,hariya nayi haka neni xiniqiyage
1,neyo huphphe ottene ha mizawu
1,mizayi keha neppe ha guxayichago kawushayi
1,xossayi nena kawusho ha kawuyayichago cadtte xossa sunttan
1,neni goyayi bi dubbayen nena qachiya asi bawe ha kaniyo
1,ha kokawu co gada asa aye bollan dona doyopa 
1,dorisayi bonchetiyako keha niyo
1,haliqqumayi ogiyan atta
1,xossayi ne bollan dada yedo ha meddenage gawuxxayi
1,nena assayi shiqidi qachanawu besesi wozani bayina galijjayi haka xossa sunttan
1,galijjayi nemala yeliyogappe ne ayiya hayiqagarkesha
1,sanayi neyo wozani bayinagadan xellinika erisasa 
1,gawuxxayi neni goyiya assape kehaka
1,buqqena buqayi nena 
1,mizappe kehena mizayi
1,nena appuwara sugidi oliiyoba matani demiyako hayiqayichage
1,wontto yekanawu eqqada hanasa ha mizawu
1,Xoossi niyo ne oosiyo zaaro hakka neni
0,Agga tayshawu ne wodiya woza hadasan coo pe'oppa
1,Urqqay asa bollan coo haasayoppa
1,Neeni coo mela maccaasaa hayttaa mooraasa gidikkii?
1,Nena xoossay sher''i  ootto nuso macca naatu bollappe
0,Nena xalahee oottees dosada hanakka
0,Tumaa haasayidi qammosan aqiyogee keha 
0,Nenaara aybikka lo''ees ta michchee miginjjee
1,Laa ta ha nuso naatu makkalaappe awu booshsha
0,Tayshaa minuwawu minna taani nena be'iyoode iita ufayssees
0,Saroy inttiyo gido tayeenaatoo
0,Laa Xoossawu yayya asa bollan haasayoppa
1,Ne aayee ayfiya ma tana aybissi dereqqay
1,Laa nena hegaa haasayanawu aybee gattiyay
1,Ne mala gooluwa ne ayfiyan be'ana koyokko  
0,Naa''antto ha naatuura hemettenna mala
0,Xoossay nena nago harabaa taani giyobi baawa
1,Xoossay oychcho nena ha paliyo ne oottana hara asa gidenna
0,Hagee tumu polettida daba gidikko biittawukka gome
0,Laa biittaa bollan haniiddi diyabay aybee xoosso neeni ashsha
0,Woraabi la paranjjatto doonaa loyttada haasayaasa hekko
0,Asa suntta he izaawi baynnasan denttidi haasayiyogee zigirssa
0,Asa zigiriyogee iita meeze
1,Neeni ayba laafa asee awudenne laafabaa hanaasa
1,Nena aybi gattin etaban gelay?
1,Nena asa ubbatoo cayissiyaa ayyaanay Xoossaa suntan cadetto
0,Xoossoo suure ogiya ogiya hemetissa nuna
0,Laa kawonawu anjjettashsho awudenna payyabaa hanaasa
1,Xorkkoy hagaakka ooso gaada oottay
0,Hoola ne wolqqawu ne qesiya dibbay xeellin yashshees tana
0,Xoossay nena gujjidikka anjjo metootidaageeta maaddadasa 
0,Ne kahan siyettabaa ubbaa coo haasayoppa 
0,Borssobaa haasayiyogee tooshissees 
0,Ne mala wozannaama asaa Xoossay biittan darisso nuussi
1,Gattennaban gelada doona daroppa ane ne oosuwa ootta
1,Agga ha na'awu ne doonay nena kawushshana hanees
1,Ne mulccabaa haasayoppa ane xiskkay
1,Ne meecettabeenna qita kushiyan tana oyqqoppa  
1,Neeni guutta na'a gida uttada ne bariyappe bollabaa aybissi hanay
0,Xoossay niyo akeekaa darisso ta michchee
1,Ne aayyiya nena tookko uluwan boynaa kalla markkeeshsha 
1,Ne bawu suure aseeyye gooyay sima gadaawaa bolli aybissi haasayay?
1,Laa nebaa dere cimay pirddo taani gidikko aybanne giikke kayisoy
0,Zino tana neeni iita kayyoyadasa 
0,Hachchi qassi ayba oorattabaa ekkada yaadii neeppe nuna Xoossi bawu ashsho
0,Laa ha naata aggite giidi shoobbiya asi baawee?
1,Kana malay ne shocinkka erakka gidikkii 
1,Ha xinqqiyaara aybakka kessakka
0,Neeni aybaa haasayiyaakkonne tawu qonccibeenna
0,Taayeenawu digga niyo say sannacca asaa oychcha
0,Asa cayiyogee nagara gidiyogaa akeeka
0,Minna annaacetta xoonennan simmoppa
0,Ne aawatettaa layttan Wolaytta maaddana giikko oduwappe oosuwawu minna
0,Odettiyabaynne oosettiiddi diyabay gayttokkona
0,Hagaappe sinttanawu iitaanne kehaa shaakki eridi daana 
0,Intte wozanan de'iya qofaa xuufiyan qonccissana danddayeeta
0,Deriya oyshay bessiya zaaruwa demmana koshshees
0,Wolaytta deree worddotiyageeta dosenna
0,Halaytti Xoossi nuussi hayse ootto
0,Pacay asa asappe guyye ashshees
0,Wolaytta oyshay barkka Dalgga mantte gidanaassa
0,Haashshu Xoossay maaddees inttena
0,Maaddida Xoossaassi gita galatay gido
0,Wolaytta wogaa maayoy saapho
0,Saro aqidetii taayetoo
0,Wolaytta deriya wogetay naagetto
0,Wolayttassi deree shiiqidi tobbiyo dubbushay de'ees
0,Allddada Qajjeela sooriyawu Xoossi bonchcho
1,siya hachipe simin ayiyo cayiko neyo dona goridanawu dayis geleshoyi
1,cinashyi ayiyo cayopa
1,musayi nena koyiro gesha simada asa ayiyo caya murixayi
1,degele nayi
1,qittayi tamayi mo gawara masatiyage
1,neni diyosayi awune niyayesi tani kokiya goridana
1,sante nayi ayiyo cayopa mizayi
1,kane nayi ayee bollani hasayopa mayuwa garixara mayaraka hasayayi
1,mizayi neni ayiyo watada cayayi
1,neni ayeppe yeletabeyikiye ayiyo ayisi cayayi mizayi
1,xiniqiyagetti inttena onika koyena
1,musati wolayitta cayisopitte
1,kanati hakitte wolayita hayitayi moretisi intte gassuwan
1,wodoroyi bawe la ha goyiyageta shafan qachanawu
1,xosi baroo intte dona
1,deshsha malattiyara ayi wasayi
1,samiya co bidoppa
1,kaanisiya xosayi nena oyiqqo
1,kanisyaa
1,ha cinashiyo xosayi digo
1,gasulayi wani hage
1,gawuxiya
1,zeiyaa haka neni
1,ha xiniqiyarisi yotiyayi bawe
1,zayiroyi haga aga giyayi bayyee
1,hage ayibe cinashayi 
1,subunayi diccoppa
1,xosi cayo nena
1,kayise nayi
1,kayisoy nena siyiya asayi wanidage
0,Yoo yoo  Gifaataa hashshu saro gattees
1,Ha mishireessi huuphee oottiyakkonne shiiqidi oychchite
1,Siyite tashenttoo ha kaysoy haasayiyo palabaa
0,Intte bonchchanawu yini aggin  nuussi aybi attii
1,Xoossaa  aawaa na'aa xillo ayyaanaa suntan caddetto nenan diyabay
1,Kaysoy kallidooro cooyees
0,Saro
1,Kaysuwa xalaalay  intte aayee gediya mite
1,Baalotaa yamiya doorokko
1,Wolaytta worissiyageeta xoossay oychcho
1,Kaysotoo hagaadan awude gakkanawu wuuqquuteetii?
0,Hagee aybaa haasayiiddi dii?
1,Ne laamee haasayo niyo gordda ne doonaa
1,Wolaytta bayizzanawu kiyida kawushshati  hageeta
1,Nu biittaa  asaa cawan zal'iyageeta
1,Hagaa mala kawushsha asi bonchcho keettaappe waani kiyii haakka iitay
0,Hagaappe  Xoossoo neeni ashsha maccaasappe yelettida asi hagaadan woygidi cayii
1,Eta kawushshaa  asa ubbay hashshu be'iis
1,Hageeti  banttana guyye cayoosona haakka iitay
1,Ha gallassa seetan wuuqqiyageetoo intte baree qantta coo haneeta 
1,Kaysoti pirddettanaagee attenna
0,Ta ishawu  ne suure oosoy xossan  nena anjjissees
1,Yaa'aa xeesin aybissi takkadii zayroy xaya hagaappe
0,Kawushshaa karee dooya aqees giida
1,Xoossoo pokkuwaappe ashsha hageeti oonaara hemettiyonaa?
0,Aggite iitabaa haasayoppite hageeti nu qaalaa erokkona
0,Xoossoo tana biittaa miza yiira na'ay aybaa miiddi de'ii
1,Hageetu haasayaa siyoppite xossayi atto go etassi
1,Hageetus simma huuphee yeddiichchiis eti gooyoosappe unddenniis
0,Xoossay ba asaa olenna
0,Dicca
1,Ne mala laafa  asi bawa guuttay 
1,Ha kawushshati cimi wuridi guyye yiira kiyiyonaa?
1,Miizzaa xalaalay  hageeta sullana bessees
0,Xoossay  nena gujji gujjidikka dichcho  neeni gita asa tayshawu
0,Niyo saroy gido tayee  nawu
0,Nu ishawu nena iitay bochchoppo tana daro maaddadasa
1,Xinqqiyabaa hanaydda daasa xinqqoy haakka ne!
1,Nena xoossay  shoddo nu biittaappe
1,Ha leefettenna mashsha mala tunay woygiiddi dii?
0,Xoossay niyo danddayiya shayaa immo simi waatanee?
1,Ha bitanee qolcciinay ubbatookka coo haasayees
1,Ha tollocciina mishiriyo nu heerappe xayssekketii
0,Tumay diyoosan awudenne xoonoy dees!!
0,Tayshaa minuwawu neeni aybissi Wolaytta televizhiniyan oottikkii?
1,tolocciya xosa suntani serretta
1,macca asaa hayitta moroppa kenkiya 
1,mizayi ayibika bawa boditeni
1,ha geleshe nati aawuppe yidona
1,kokayi
1,la ayiba inte huphphe xumirro natte
1,wurquqayi neeni asaa cayanawu ayibi gatti
1,bidinitayi nenika asee hayiqayichage
1,gisilayi neni awuppe yadi koyiro
1,bittayi neni bawu godabusho gidena agaka
0,"Amuuchche Bushshe gidaa laarose Buutti na""a Baade godee hoola intte erawu"
1,Wuuqqada miya zayroy haakka ne
0,Wonikka Gaammoy gaammuwa yeleesippe attin zeerussaa yelenna
0,Kawuwaa qullidi kallachchaa wottiyagaanawu woraabi ne erawu
0,Suure haggaaziya kawotetta maatawati deriyan dosettoosona 
0,Kawo Dagato Kumbbee gaammo!
0,Xoossay nena anjjo tayshawu adussa layttaa de'a
0,Ooninne ooppenne guuxxenna asa guuttada xeelloppa
0,Yelagati bantta abbiya keena hashetena bessees
0,Yelagatoo issippe dichchaassi issippe denddoos nu diishin nu biittay allagan oyqettoppo
0,Xoossi  be'in woggaridoy bittaa bashshoosona aayiyaa be'ana hindda
1,Hagee ayba asee ooso oottennan coo maana gay? Hegee pokkottennee
0,Payyatettay diishin oosuwa ixxidi woossidi  maanawu qaaxxiyo qaattay lo''o gidenna 
0,"Godaayikka ""Oottada ne cawan ma"" gees"
0,"Wolaytta asaykka leemisiiddi ""Kariya gorddada woossa"" gees"
1,Bitaydda aqa pe'iyakkonne Xoossay tana ne bitawu aatti immenna siya
1,Mulccay xinqquwan gaasattees giida
0,Cadda koshaa gaylliya mentta
0,ottada ma kushe tohoy kumetta asa sinttan eqqada woossoppa
0,Hiillaa daroy xaphuwa qanxxees
0,Siya tayshawu agga hegaa bochchoppa cima asay nena qanggenna mala 
0,Hayqqana eceriya Garawee siiriya singgawusu giida
1,Neeni woni ayba woosa woossay ekela wora xayssa Xoossawu giyogee neeppe naagettii?
0,Kalissana kattay keriyan erettees
1,Buuqeenay hagaa keena wodiya takkada mela soo yay
0,Ooso wodee oosuwan pe'ana bessees
1,Mera lo''oy oyssa kayso giida
0,Xoossay tama dirssa bari naatuyyoo
1,Ne laggetay awaa sussan gaytto niyo ha'i qassi hegaa doommadii
0,Koyrottada xillotettaanne saluwa kawotetta koya
1,Iitay iyiissi cayees giida
1,Ha qitawu koyrottada ne maayuwa qitaa meeccaychcha
1,Zayiroy  aykkobaa Xoossay tana mata wodiyan nebaa bessana
0,Neeni hadasan hayqqenna mala nagara ogiyappe simma
0,Hayqqa xayanawu eqqada Xoossaa bollan haasayaasa gidikki
1,Ha xinqquwawu niyo wozanay oosuwa essiichchideeyye?
0,Ta neenara gaytta erenna gishshawu tana laamotay worees
1,Asa kunddettan ufayttiyogee niyo ooso
1,Xoossay intte bolli dada kiitto
0,Hadaraa miiday hayqqees
0,Maganaa miiday qassi manqqees gees nu asay 
1,Wolaytta deree hayqqidikka dares intteppe
0,Woraabi  minuwawu nenaara sinttawu
1,paxa hayiqada dasa neyo erettiko
1,gosiliya macca gidiki neni 
1,curiqqiya
1,tuma madenara curiqqiya
1,manjiyaa
1,hanissi huphphe ottena ha manjiyaa wanayi
1,xiniqiyaraa xosayi nena shodo haka
1,xossayi ne omarisa moro metoyi bawa neba beana
1,opekkaa wana kaniyaa nena 
1,xiniqiyaraa nerika nena gutiya gutiyaa
1,Qitiya   neeni erettida worddo coo biddoppa ane 
1,Ha biittaa  wurssiya kaysuwa gooddite
1,"Koyrottada  ba ne huphiyan dei""iya cuuchcha xayssa simmada ya"
0,Qeeri naata shiishshada waretissoppa neeni qeeri na'a gidakka
1,Laafayi
0,Kaysoy Hamuusa wuuqqin kanay ne malay Arbba gallassi boccees
1,Koysite issisaa shiiqite inttessi imettiya pirddaa ekkeeta
1,tuy kaysoy
0,Caamma bessana koyadi 
1,xinqqoy
1,Nuussi koysoora dabbotetti baawa xaya hagaappe
1,Koyrottada  nena suure xeella ane  occuwa malataasa
0,Asa  bolli bessennabaa  hasayoppa 
1,guuttay
1,Waanay hagara haraqe kettaa bay toyliinay
0,Gamma  gaadasa taayee ne zoree tana daroppe maaddiis
1,Degelay haakka ne quma conchcha daraasa
1,Degelay
0,Laa  hagaa bochoppa nena era
0,Taassikka oosoy baawashin waanoo?
0,Xoossoo  ashsha  hagee waani naatoo
1,Ne bawu tana ayba iitay micoy 
0,Laa ha naatuppe ta waanooshsha
0,Neeni aybaa kessanawu hagaa keeni boodday
